video,split
1_Cro_12_parte-3,train
1_Cro_12_parte-4,train
1_Cro_12_parte-5,train
1_Cro_12_parte-6,train
1_Cro_12_parte-7,train
1_Cro_13_parte-1,dev
1_Cro_13_parte-2,dev
1_Cro_13_parte-3,train
1_Cro_14_parte-1,train
1_Cro_14_parte-2,train
1_Cro_14_parte-3,test
1_Cro_15_parte-1,train
1_Cro_15_parte-2,train
1_Cro_15_parte-3,test
1_Cro_15_parte-4,train
1_Cro_15_parte-5,train
1_Cro_15_parte-6,train
1_Cro_16_parte-1,dev
1_Cro_16_parte-2,train
1_Cro_16_parte-3,test
1_Cro_16_parte-4,dev
1_Cro_16_parte-5,dev
1_Cro_16_parte-6,train
1_Cro_16_parte-7,train
1_Cro_16_parte-8,train
1_Cro_17_parte-1,train
1_Cro_17_parte-2,train
1_Cro_17_parte-3,train
1_Cro_17_parte-4,train
1_Cro_18_parte-1,train
1_Cro_18_parte-2,train
1_Cro_18_parte-3,train
1_Cro_18_parte-4,train
1_Cro_19_parte-1,train
1_Cro_19_parte-2,train
1_Cro_19_parte-3,train
1_Cro_19_parte-4,test
1_Cro_1_parte-1,train
1_Cro_1_parte-2,train
1_Cro_1_parte-3,train
1_Cro_1_parte-4,train
1_Cro_1_parte-5,train
1_Cro_1_parte-6,train
1_Cro_1_parte-7,train
1_Cro_20_parte-1,train
1_Cro_20_parte-2,test
1_Cro_21_parte-1,train
1_Cro_21_parte-2,train
1_Cro_21_parte-3,train
1_Cro_21_parte-4,train
1_Cro_21_parte-5,train
1_Cro_21_parte-6,dev
1_Cro_22_parte-1,train
1_Cro_22_parte-2,dev
1_Cro_22_parte-3,train
1_Cro_22_parte-4,train
1_Cro_23_parte-1,train
1_Cro_23_parte-2,train
1_Cro_23_parte-3,train
1_Cro_23_parte-4,test
1_Cro_23_parte-5,train
1_Cro_23_parte-6,train
1_Cro_23_parte-7,train
1_Cro_24_parte-1,train
1_Cro_24_parte-2,train
1_Cro_24_parte-3,train
1_Cro_24_parte-4,dev
1_Cro_24_parte-5,train
1_Cro_25_parte-1,train
1_Cro_25_parte-2,train
1_Cro_25_parte-3,train
1_Cro_25_parte-4,train
1_Cro_25_parte-5,train
1_Cro_26_parte-1,dev
1_Cro_26_parte-2,train
1_Cro_26_parte-3,train
1_Cro_26_parte-4,dev
1_Cro_26_parte-5,dev
1_Cro_26_parte-6,train
1_Cro_27_parte-1,train
1_Cro_27_parte-2,train
1_Cro_27_parte-3,dev
1_Cro_27_parte-4,train
1_Cro_27_parte-5,train
1_Cro_27_parte-6,train
1_Cro_27_parte-7,train
1_Cro_27_parte-8,test
1_Cro_28_parte-1,train
1_Cro_28_parte-2,train
1_Cro_28_parte-3,train
1_Cro_28_parte-4,train
1_Cro_28_parte-5,train
1_Cro_29_parte-1,dev
1_Cro_29_parte-2,dev
1_Cro_29_parte-3,train
1_Cro_29_parte-4,test
1_Cro_29_parte-5,train
1_Cro_29_parte-6,train
1_Cro_29_parte-7,train
1_Cro_2_parte-1,train
1_Cro_2_parte-2,test
1_Cro_2_parte-3,dev
1_Cro_2_parte-4,train
1_Cro_2_parte-5,train
1_Cro_2_parte-6,train
1_Cro_3_parte-1,train
1_Cro_3_parte-2,test
1_Cro_3_parte-3,train
1_Cro_4_parte-1,train
1_Cro_4_parte-2,train
1_Cro_4_parte-3,train
1_Cro_4_parte-4,train
1_Cro_4_parte-5,train
1_Cro_4_parte-6,train
1_Cro_4_parte-7,train
1_Cro_5_parte-1,train
1_Cro_5_parte-2,dev
1_Cro_5_parte-3,train
1_Cro_5_parte-4,train
1_Cro_5_parte-5,train
1_Cro_6_parte-1,train
1_Cro_6_parte-10,train
1_Cro_6_parte-11,train
1_Cro_6_parte-2,train
1_Cro_6_parte-3,train
1_Cro_6_parte-4,dev
1_Cro_6_parte-5,train
1_Cro_6_parte-6,train
1_Cro_6_parte-7,train
1_Cro_6_parte-8,train
1_Cro_6_parte-9,train
1_Cro_7_parte-1,test
1_Cro_7_parte-2,dev
1_Cro_7_parte-3,train
1_Cro_7_parte-4,train
1_Cro_7_parte-5,test
1_Cro_7_parte-6,train
1_Cro_7_parte-7,train
1_Cro_8_parte-1,train
1_Cro_8_parte-2,train
1_Cro_8_parte-3,train
1_Cro_8_parte-4,test
1_Cro_8_parte-5,train
1_Cro_9_parte-1,train
1_Cro_9_parte-2,train
1_Cro_9_parte-3,test
1_Cro_9_parte-4,train
1_Cro_9_parte-5,train
1_Cro_9_parte-6,train
1_Cro_9_parte-7,train
1_Cro_9_parte-8,train
1_Joao_1_parte-1,train
1_Joao_1_parte-2,train
1_Joao_1_parte-3,train
1_Joao_2_parte-1,train
1_Joao_2_parte-10,train
1_Joao_2_parte-11,train
1_Joao_2_parte-2,train
1_Joao_2_parte-3,test
1_Joao_2_parte-4,train
1_Joao_2_parte-5,train
1_Joao_2_parte-6,train
1_Joao_2_parte-7,train
1_Joao_2_parte-8,train
1_Joao_2_parte-9,train
1_Joao_3_parte-1,train
1_Joao_3_parte-2,train
1_Joao_3_parte-3,train
1_Joao_3_parte-4,train
1_Joao_3_parte-5,train
1_Joao_3_parte-6,train
1_Joao_3_parte-7,train
1_Joao_3_parte-8,test
1_Joao_3_parte-9,train
1_Joao_4_parte-1,test
1_Joao_4_parte-2,train
1_Joao_4_parte-3,train
1_Joao_4_parte-4,train
1_Joao_4_parte-5,train
1_Joao_4_parte-6,train
1_Joao_4_parte-7,train
1_Joao_4_parte-8,train
1_Joao_5_parte-1,train
1_Joao_5_parte-2,test
1_Joao_5_parte-3,train
1_Joao_5_parte-4,train
1_Joao_5_parte-5,dev
1_Joao_5_parte-6,train
1_Joao_5_parte-7,train
1_Ped_1_parte-1,train
1_Ped_1_parte-2,train
1_Ped_1_parte-3,train
1_Ped_1_parte-4,train
1_Ped_1_parte-5,dev
1_Ped_1_parte-6,dev
1_Ped_1_parte-7,train
1_Ped_2_parte-1,train
1_Ped_2_parte-2,train
1_Ped_2_parte-3,train
1_Ped_2_parte-4,train
1_Ped_2_parte-5,train
1_Ped_2_parte-6,train
1_Ped_2_parte-7,train
1_Ped_2_parte-8,train
1_Ped_2_parte-9,train
1_Ped_3_parte-1,train
1_Ped_3_parte-2,dev
1_Ped_3_parte-3,train
1_Ped_3_parte-4,train
1_Ped_3_parte-5,train
1_Ped_3_parte-6,train
1_Ped_3_parte-7,test
1_Ped_4_parte-1,train
1_Ped_4_parte-2,train
1_Ped_4_parte-3,train
1_Ped_4_parte-4,dev
1_Ped_5_parte-1,train
1_Ped_5_parte-2,train
1_Ped_5_parte-3,train
1_Reis_10_parte-1,train
1_Reis_10_parte-10,train
1_Reis_10_parte-2,train
1_Reis_10_parte-3,test
1_Reis_10_parte-4,dev
1_Reis_10_parte-5,test
1_Reis_10_parte-6,train
1_Reis_10_parte-7,train
1_Reis_10_parte-8,train
1_Reis_10_parte-9,train
1_Reis_11_parte-1,train
1_Reis_11_parte-2,train
1_Reis_11_parte-3,train
1_Reis_11_parte-4,train
1_Reis_11_parte-5,train
1_Reis_11_parte-6,train
1_Reis_11_parte-7,train
1_Reis_12_parte-1,train
1_Reis_12_parte-2,test
1_Reis_12_parte-3,train
1_Reis_12_parte-4,dev
1_Reis_12_parte-5,train
1_Reis_12_parte-6,train
1_Reis_12_parte-7,train
1_Reis_13_parte-1,train
1_Reis_13_parte-2,train
1_Reis_13_parte-3,train
1_Reis_13_parte-4,train
1_Reis_13_parte-5,dev
1_Reis_14_parte-1,test
1_Reis_14_parte-2,train
1_Reis_14_parte-3,train
1_Reis_14_parte-4,train
1_Reis_14_parte-5,test
1_Reis_14_parte-6,train
1_Reis_14_parte-7,train
1_Reis_15_parte-1,train
1_Reis_15_parte-2,train
1_Reis_15_parte-3,train
1_Reis_15_parte-4,train
1_Reis_15_parte-5,train
1_Reis_15_parte-6,train
1_Reis_15_parte-7,train
1_Reis_16_parte-1,train
1_Reis_16_parte-2,dev
1_Reis_16_parte-3,train
1_Reis_16_parte-4,train
1_Reis_16_parte-5,train
1_Reis_16_parte-6,dev
1_Reis_16_parte-7,train
1_Reis_16_parte-8,train
1_Reis_17_parte-1,train
1_Reis_17_parte-2,train
1_Reis_17_parte-3,train
1_Reis_18_parte-1,train
1_Reis_18_parte-2,dev
1_Reis_18_parte-3,train
1_Reis_18_parte-4,train
1_Reis_18_parte-5,train
1_Reis_18_parte-6,train
1_Reis_18_parte-7,train
1_Reis_19_parte-1,train
1_Reis_19_parte-2,train
1_Reis_19_parte-3,train
1_Reis_19_parte-4,train
1_Reis_1_parte-1,train
1_Reis_1_parte-2,train
1_Reis_1_parte-3,dev
1_Reis_1_parte-4,train
1_Reis_1_parte-5,train
1_Reis_1_parte-6,train
1_Reis_1_parte-7,train
1_Reis_1_parte-8,train
1_Reis_20_parte-1,train
1_Reis_20_parte-2,train
1_Reis_20_parte-3,train
1_Reis_20_parte-4,train
1_Reis_20_parte-5,dev
1_Reis_20_parte-6,dev
1_Reis_20_parte-7,train
1_Reis_21_parte-1,dev
1_Reis_21_parte-2,test
1_Reis_21_parte-3,test
1_Reis_21_parte-4,train
1_Reis_22_parte-1,train
1_Reis_22_parte-10,train
1_Reis_22_parte-11,train
1_Reis_22_parte-2,train
1_Reis_22_parte-3,train
1_Reis_22_parte-4,train
1_Reis_22_parte-5,train
1_Reis_22_parte-6,train
1_Reis_22_parte-7,train
1_Reis_22_parte-8,train
1_Reis_22_parte-9,train
1_Reis_2_parte-1,train
1_Reis_2_parte-10,train
1_Reis_2_parte-11,train
1_Reis_2_parte-2,train
1_Reis_2_parte-3,train
1_Reis_2_parte-4,train
1_Reis_2_parte-5,train
1_Reis_2_parte-6,train
1_Reis_2_parte-7,train
1_Reis_2_parte-8,dev
1_Reis_2_parte-9,train
1_Reis_3_parte-1,train
1_Reis_3_parte-2,train
1_Reis_3_parte-3,test
1_Reis_4_parte-1,train
1_Reis_4_parte-2,train
1_Reis_4_parte-3,test
1_Reis_4_parte-4,train
1_Reis_4_parte-5,train
1_Reis_4_parte-6,train
1_Reis_4_parte-7,train
1_Reis_5_parte-1,train
1_Reis_5_parte-2,test
1_Reis_5_parte-3,train
1_Reis_5_parte-4,train
1_Reis_6_parte-1,train
1_Reis_6_parte-2,test
1_Reis_6_parte-3,train
1_Reis_6_parte-4,dev
1_Reis_6_parte-5,train
1_Reis_6_parte-6,train
1_Reis_6_parte-7,dev
1_Reis_6_parte-8,train
1_Reis_6_parte-9,train
1_Reis_7_parte-1,train
1_Reis_7_parte-10,train
1_Reis_7_parte-11,train
1_Reis_7_parte-2,train
1_Reis_7_parte-3,test
1_Reis_7_parte-4,train
1_Reis_7_parte-5,train
1_Reis_7_parte-6,dev
1_Reis_7_parte-7,train
1_Reis_7_parte-8,dev
1_Reis_7_parte-9,train
1_Reis_8_parte-1,dev
1_Reis_8_parte-10,train
1_Reis_8_parte-11,train
1_Reis_8_parte-12,train
1_Reis_8_parte-13,train
1_Reis_8_parte-14,train
1_Reis_8_parte-15,train
1_Reis_8_parte-2,train
1_Reis_8_parte-3,train
1_Reis_8_parte-4,train
1_Reis_8_parte-5,train
1_Reis_8_parte-6,train
1_Reis_8_parte-7,train
1_Reis_8_parte-8,train
1_Reis_8_parte-9,dev
1_Reis_9_parte-1,train
1_Reis_9_parte-2,train
1_Reis_9_parte-3,test
1_Reis_9_parte-4,train
1_Reis_9_parte-5,train
1_Reis_9_parte-6,train
1_Reis_9_parte-7,train
1_Sam_10_parte-1,train
1_Sam_10_parte-2,train
1_Sam_10_parte-3,train
1_Sam_10_parte-4,train
1_Sam_11_parte-1,train
1_Sam_11_parte-2,train
1_Sam_11_parte-3,train
1_Sam_11_parte-4,train
1_Sam_12_parte-1,train
1_Sam_12_parte-2,train
1_Sam_12_parte-3,train
1_Sam_13_parte-1,train
1_Sam_13_parte-2,test
1_Sam_13_parte-3,dev
1_Sam_13_parte-4,train
1_Sam_13_parte-5,dev
1_Sam_14_parte-1,train
1_Sam_14_parte-2,train
1_Sam_14_parte-3,train
1_Sam_14_parte-4,train
1_Sam_14_parte-5,train
1_Sam_14_parte-6,train
1_Sam_14_parte-7,train
1_Sam_14_parte-8,train
1_Sam_15_parte-1,train
1_Sam_15_parte-2,dev
1_Sam_15_parte-3,train
1_Sam_15_parte-4,train
1_Sam_15_parte-5,train
1_Sam_16_parte-1,train
1_Sam_16_parte-2,train
1_Sam_16_parte-3,train
1_Sam_17_parte-1,train
1_Sam_17_parte-2,train
1_Sam_17_parte-3,train
1_Sam_17_parte-4,train
1_Sam_17_parte-5,dev
1_Sam_17_parte-6,train
1_Sam_17_parte-7,train
1_Sam_17_parte-8,train
1_Sam_18_parte-1,train
1_Sam_18_parte-2,train
1_Sam_18_parte-3,train
1_Sam_18_parte-4,test
1_Sam_18_parte-5,train
1_Sam_18_parte-6,train
1_Sam_19_parte-1,dev
1_Sam_19_parte-2,train
1_Sam_19_parte-3,train
1_Sam_19_parte-4,train
1_Sam_1_parte-1,train
1_Sam_1_parte-2,train
1_Sam_1_parte-3,train
1_Sam_1_parte-4,dev
1_Sam_20_parte-1,train
1_Sam_20_parte-2,train
1_Sam_20_parte-3,train
1_Sam_20_parte-4,train
1_Sam_20_parte-5,train
1_Sam_21_parte-1,train
1_Sam_21_parte-2,test
1_Sam_22_parte-1,train
1_Sam_22_parte-2,test
1_Sam_22_parte-3,train
1_Sam_22_parte-4,test
1_Sam_23_parte-1,train
1_Sam_23_parte-2,train
1_Sam_23_parte-3,train
1_Sam_23_parte-4,train
1_Sam_24_parte-1,train
1_Sam_24_parte-2,dev
1_Sam_24_parte-3,train
1_Sam_25_parte-1,train
1_Sam_25_parte-2,train
1_Sam_25_parte-3,train
1_Sam_25_parte-4,train
1_Sam_25_parte-5,train
1_Sam_25_parte-6,train
1_Sam_25_parte-7,train
1_Sam_26_parte-1,train
1_Sam_26_parte-2,train
1_Sam_26_parte-3,train
1_Sam_26_parte-4,dev
1_Sam_27_parte-1,train
1_Sam_27_parte-2,test
1_Sam_28_parte-1,train
1_Sam_28_parte-2,train
1_Sam_28_parte-3,train
1_Sam_28_parte-4,train
1_Sam_29_parte-1,train
1_Sam_29_parte-2,train
1_Sam_2_parte-1,train
1_Sam_2_parte-2,train
1_Sam_2_parte-3,train
1_Sam_2_parte-4,train
1_Sam_2_parte-5,train
1_Sam_2_parte-6,train
1_Sam_30_parte-1,train
1_Sam_30_parte-2,train
1_Sam_30_parte-3,train
1_Sam_30_parte-4,train
1_Sam_30_parte-5,train
1_Sam_31_parte-1,train
1_Sam_31_parte-2,train
1_Sam_3_parte-1,train
1_Sam_3_parte-2,train
1_Sam_3_parte-3,test
1_Sam_3_parte-4,train
1_Sam_4_parte-1,train
1_Sam_4_parte-2,train
1_Sam_4_parte-3,test
1_Sam_4_parte-4,train
1_Sam_5_parte-1,train
1_Sam_5_parte-2,train
1_Sam_5_parte-3,train
1_Sam_6_parte-1,train
1_Sam_6_parte-2,train
1_Sam_6_parte-3,train
1_Sam_6_parte-4,train
1_Sam_7_parte-1,train
1_Sam_7_parte-2,train
1_Sam_7_parte-3,test
1_Sam_7_parte-4,train
1_Sam_8_parte-1,train
1_Sam_8_parte-2,train
1_Sam_8_parte-3,train
1_Sam_8_parte-4,train
1_Sam_8_parte-5,train
1_Sam_9_parte-1,train
1_Sam_9_parte-2,train
1_Sam_9_parte-3,train
1_Sam_9_parte-4,dev
1_Sam_9_parte-5,train
1_Sam_9_parte-6,train
1_Tes_1_parte-1,test
1_Tes_1_parte-2,train
1_Tes_2_parte-1,train
1_Tes_2_parte-2,train
1_Tes_2_parte-3,train
1_Tes_2_parte-4,train
1_Tes_2_parte-5,dev
1_Tes_3_parte-1,train
1_Tes_3_parte-2,train
1_Tes_4_parte-1,test
1_Tes_4_parte-2,train
1_Tes_4_parte-3,train
1_Tes_5_parte-1,train
1_Tes_5_parte-2,train
1_Tes_5_parte-3,train
1_Tes_5_parte-4,train
1_Tes_5_parte-5,test
1_Timoteo_1_parte-1,train
1_Timoteo_1_parte-2,train
1_Timoteo_1_parte-3,train
1_Timoteo_1_parte-4,test
1_Timoteo_2_parte-1,dev
1_Timoteo_2_parte-2,train
1_Timoteo_3_parte-1,train
1_Timoteo_3_parte-2,test
1_Timoteo_3_parte-3,train
1_Timoteo_3_parte-4,train
1_Timoteo_3_parte-5,train
1_Timoteo_4_parte-1,train
1_Timoteo_4_parte-2,train
1_Timoteo_5_parte-1,train
1_Timoteo_5_parte-2,train
1_Timoteo_5_parte-3,train
1_Timoteo_5_parte-4,train
1_Timoteo_5_parte-5,test
1_Timoteo_6_parte-1,train
1_Timoteo_6_parte-2,train
1_Timoteo_6_parte-3,dev
1_Timoteo_6_parte-4,dev
2_Corintios_10_parte-1,train
2_Corintios_10_parte-2,train
2_Corintios_10_parte-3,train
2_Corintios_11_parte-1,train
2_Corintios_11_parte-2,train
2_Corintios_11_parte-3,dev
2_Corintios_11_parte-4,train
2_Corintios_11_parte-5,train
2_Corintios_11_parte-6,train
2_Corintios_12_parte-1,train
2_Corintios_12_parte-2,train
2_Corintios_12_parte-3,train
2_Corintios_13_parte-1,train
2_Corintios_13_parte-2,train
2_Corintios_13_parte-3,train
2_Corintios_1_parte-1,train
2_Corintios_1_parte-2,dev
2_Corintios_1_parte-3,dev
2_Corintios_1_parte-4,train
2_Corintios_1_parte-5,train
2_Corintios_2_parte-1,train
2_Corintios_2_parte-2,train
2_Corintios_2_parte-3,train
2_Corintios_2_parte-4,train
2_Corintios_3_parte-1,dev
2_Corintios_3_parte-2,train
2_Corintios_3_parte-3,train
2_Corintios_4_parte-1,train
2_Corintios_4_parte-2,train
2_Corintios_4_parte-3,train
2_Corintios_4_parte-4,train
2_Corintios_5_parte-1,test
2_Corintios_5_parte-2,dev
2_Corintios_5_parte-3,train
2_Corintios_5_parte-4,train
2_Corintios_6_parte-1,train
2_Corintios_6_parte-2,test
2_Corintios_6_parte-3,train
2_Corintios_6_parte-4,train
2_Corintios_7_parte-1,train
2_Corintios_7_parte-2,dev
2_Corintios_7_parte-3,train
2_Corintios_7_parte-4,train
2_Corintios_7_parte-5,train
2_Corintios_8_parte-1,train
2_Corintios_8_parte-2,train
2_Corintios_8_parte-3,train
2_Corintios_8_parte-4,train
2_Corintios_9_parte-1,train
2_Corintios_9_parte-2,train
2_Corintios_9_parte-3,train
2_Cro_10_parte-1,train
2_Cro_10_parte-2,train
2_Cro_11_parte-1,train
2_Cro_11_parte-2,train
2_Cro_11_parte-3,train
2_Cro_11_parte-4,test
2_Cro_12_parte-1,train
2_Cro_12_parte-2,train
2_Cro_12_parte-3,dev
2_Cro_12_parte-4,train
2_Cro_13_parte-1,train
2_Cro_13_parte-2,dev
2_Cro_13_parte-3,train
2_Cro_13_parte-4,train
2_Cro_13_parte-5,train
2_Cro_14_parte-1,test
2_Cro_14_parte-2,test
2_Cro_15_parte-1,train
2_Cro_15_parte-2,train
2_Cro_15_parte-3,train
2_Cro_16_parte-1,train
2_Cro_16_parte-2,train
2_Cro_16_parte-3,train
2_Cro_17_parte-1,train
2_Cro_17_parte-2,train
2_Cro_17_parte-3,train
2_Cro_18_parte-1,train
2_Cro_18_parte-2,train
2_Cro_18_parte-3,train
2_Cro_18_parte-4,train
2_Cro_19_parte-1,train
2_Cro_19_parte-2,train
2_Cro_19_parte-3,train
2_Cro_1_parte-1,train
2_Cro_1_parte-2,train
2_Cro_1_parte-3,train
2_Cro_20_parte-1,train
2_Cro_20_parte-2,train
2_Cro_20_parte-3,train
2_Cro_20_parte-4,train
2_Cro_20_parte-5,train
2_Cro_21_parte-1,dev
2_Cro_21_parte-2,train
2_Cro_21_parte-3,test
2_Cro_21_parte-4,train
2_Cro_22_parte-1,train
2_Cro_22_parte-2,train
2_Cro_23_parte-1,train
2_Cro_23_parte-2,train
2_Cro_23_parte-3,test
2_Cro_24_parte-1,test
2_Cro_24_parte-2,train
2_Cro_24_parte-3,train
2_Cro_24_parte-4,train
2_Cro_24_parte-5,train
2_Cro_25_parte-1,train
2_Cro_25_parte-2,train
2_Cro_25_parte-3,train
2_Cro_25_parte-4,train
2_Cro_25_parte-5,train
2_Cro_26_parte-1,train
2_Cro_26_parte-2,train
2_Cro_26_parte-3,train
2_Cro_26_parte-4,test
2_Cro_27_parte-1,train
2_Cro_28_parte-1,train
2_Cro_28_parte-2,train
2_Cro_28_parte-3,train
2_Cro_28_parte-4,train
2_Cro_28_parte-5,train
2_Cro_29_parte-1,train
2_Cro_29_parte-2,dev
2_Cro_29_parte-3,train
2_Cro_29_parte-4,train
2_Cro_2_parte-1,test
2_Cro_2_parte-2,dev
2_Cro_2_parte-3,dev
2_Cro_2_parte-4,train
2_Cro_30_parte-1,train
2_Cro_30_parte-2,train
2_Cro_30_parte-3,dev
2_Cro_30_parte-4,train
2_Cro_31_parte-1,train
2_Cro_31_parte-2,train
2_Cro_31_parte-3,train
2_Cro_31_parte-4,train
2_Cro_32_parte-1,train
2_Cro_32_parte-2,train
2_Cro_32_parte-3,train
2_Cro_32_parte-4,train
2_Cro_32_parte-5,train
2_Cro_33_parte-1,train
2_Cro_33_parte-2,train
2_Cro_33_parte-3,dev
2_Cro_33_parte-4,train
2_Cro_33_parte-5,train
2_Cro_34_parte-1,train
2_Cro_34_parte-2,train
2_Cro_34_parte-3,dev
2_Cro_34_parte-4,train
2_Cro_34_parte-5,train
2_Cro_35_parte-1,test
2_Cro_35_parte-2,train
2_Cro_35_parte-3,train
2_Cro_35_parte-4,train
2_Cro_35_parte-5,dev
2_Cro_36_parte-1,train
2_Cro_36_parte-2,train
2_Cro_36_parte-3,train
2_Cro_36_parte-4,train
2_Cro_3_parte-1,train
2_Cro_3_parte-2,test
2_Cro_3_parte-3,train
2_Cro_4_parte-1,train
2_Cro_4_parte-2,train
2_Cro_4_parte-3,train
2_Cro_4_parte-4,train
2_Cro_5_parte-1,train
2_Cro_5_parte-2,dev
2_Cro_5_parte-3,train
2_Cro_6_parte-1,train
2_Cro_6_parte-2,train
2_Cro_6_parte-3,train
2_Cro_6_parte-4,train
2_Cro_6_parte-5,train
2_Cro_6_parte-6,dev
2_Cro_7_parte-1,train
2_Cro_7_parte-2,test
2_Cro_7_parte-3,dev
2_Cro_8_parte-1,test
2_Cro_8_parte-2,train
2_Cro_8_parte-3,test
2_Cro_8_parte-4,train
2_Cro_9_parte-1,train
2_Cro_9_parte-2,test
2_Cro_9_parte-3,train
2_Cro_9_parte-4,train
2_Cro_9_parte-5,train
2_Cro_9_parte-6,train
2_Cro_9_parte-7,train
2_Joao_1_parte-1,train
2_Joao_1_parte-2,train
2_Joao_1_parte-3,train
2_Joao_1_parte-4,train
2_Joao_1_parte-5,train
2_Ped_1_parte-1,train
2_Ped_1_parte-2,train
2_Ped_1_parte-3,train
2_Ped_1_parte-4,train
2_Ped_1_parte-5,train
2_Ped_1_parte-6,train
2_Ped_2_parte-1,train
2_Ped_2_parte-2,train
2_Ped_2_parte-3,dev
2_Ped_2_parte-4,train
2_Ped_2_parte-5,train
2_Ped_2_parte-6,train
2_Ped_2_parte-7,test
2_Ped_3_parte-1,train
2_Ped_3_parte-2,train
2_Ped_3_parte-3,train
2_Ped_3_parte-4,train
2_Ped_3_parte-5,train
2_Ped_3_parte-6,train
2_Reis_10_parte-1,dev
2_Reis_10_parte-2,dev
2_Reis_10_parte-3,train
2_Reis_10_parte-4,train
2_Reis_10_parte-5,train
2_Reis_10_parte-6,train
2_Reis_10_parte-7,dev
2_Reis_10_parte-8,train
2_Reis_11_parte-1,train
2_Reis_11_parte-2,train
2_Reis_11_parte-3,train
2_Reis_11_parte-4,train
2_Reis_12_parte-1,train
2_Reis_12_parte-2,train
2_Reis_12_parte-3,dev
2_Reis_12_parte-4,train
2_Reis_12_parte-5,train
2_Reis_12_parte-6,dev
2_Reis_13_parte-1,train
2_Reis_13_parte-2,train
2_Reis_13_parte-3,train
2_Reis_13_parte-4,train
2_Reis_13_parte-5,train
2_Reis_13_parte-6,train
2_Reis_14_parte-1,train
2_Reis_14_parte-2,train
2_Reis_14_parte-3,train
2_Reis_14_parte-4,train
2_Reis_14_parte-5,train
2_Reis_14_parte-6,train
2_Reis_15_parte-1,train
2_Reis_15_parte-2,train
2_Reis_15_parte-3,train
2_Reis_15_parte-4,dev
2_Reis_15_parte-5,train
2_Reis_15_parte-6,train
2_Reis_15_parte-7,train
2_Reis_16_parte-1,train
2_Reis_16_parte-2,train
2_Reis_16_parte-3,train
2_Reis_16_parte-4,test
2_Reis_17_parte-1,train
2_Reis_17_parte-2,test
2_Reis_17_parte-3,train
2_Reis_17_parte-4,train
2_Reis_17_parte-5,test
2_Reis_17_parte-6,train
